"StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","UserLanguage","consent","fav_China","fav_France","fav_Korea","fav_UK","fav_US","fav_Russia","fav_UN","fav_WHO","interest","leader_sup","hawk_dove","priming_1","priming_2","priming_3","priming_4","DV1_G1","DV2_G1","DV3_G1","DV4_G1","DV5_G1","DV6_G1","DV7_G1","DV8_G1","DV9_G1","DV10_G1","DV11_G1","DV12_G1","DV1_G2","DV2_G2","DV3_G2","DV4_G2","DV5_G2","DV6_G2","DV7_G2","DV8_G2","DV9_G2","DV10_G2","DV11_G2","DV12_G2","DV1_G3","DV2_G3","DV3_G3","DV4_G3","DV5_G3","DV6_G3","DV7_G3","DV8_G3","DV9_G3","DV10_G3","DV11_G3","DV12_G3","DV1_G4","DV2_G4","DV3_G4","DV4_G4","DV5_G4","DV6_G4","DV7_G4","DV8_G4","DV9_G4","DV10_G4","DV11_G4","DV12_G4","DV1_G5","DV2_G5","DV3_G5","DV4_G5","DV5_G5","DV6_G5","DV7_G5","DV8_G5","DV9_G5","DV1_G6","DV2_G6","DV3_G6","DV4_G6","DV5_G6","DV6_G6","DV7_G6","DV8_G6","DV9_G6","knowledge","SDO1","SDO2","SDO3","SDO4","SDO5","SDO6","SDO7","SDO8","SDO9","SDO10","SDO11","SDO12","SDO13","SDO14","SDO15","SDO16","check1","check2","liberal","age","gender","education","free_writing"
2021-01-21 22:36:16,2021-01-21 22:38:25,100,128,TRUE,2021-01-21 22:38:25,"JA","同意する",52,54,59,56,59,57,56,54,"やや注意を払っている","どちらかと言えば支持している","ハト派",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"支持しない","ステータスには影響はない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","国際社会の上位6～15パーセント","授権決議はなかったはずだ","４","４","４","４","４","４","４","４","４","４","４","４","４","４","４","４","自衛隊の早期撤退","アメリカ主導の平和維持活動","5 (中間)","1956年","男性","大学院卒業","特にない"
2021-01-21 22:38:33,2021-01-21 22:38:39,100,6,TRUE,2021-01-21 22:38:39,"JA","同意しない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-21 22:37:41,2021-01-21 22:40:13,100,151,TRUE,2021-01-21 22:40:13,"JA","同意する",0,64,0,46,73,17,18,40,"かなり注意を払っている","わからない","わからない","わからない","わからない","わからない","さ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"答えたくない","ステータスを下げる影響がある","そう思う","どちらでもない","そう思う","どちらでもない","どちらでもない","どちらでもない","わからない","わからない","ステータスを下げる影響がある","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","３","３","４","３","１　全く同意しない／反対する","１　全く同意しない／反対する","４","４","４","５","４","４","４","４","３","４","どれでもない","どれでもない","答えたくない","1989年","男性","高校・高専・専門学校・短大卒業","な"
2021-01-21 22:36:27,2021-01-21 22:40:36,100,248,TRUE,2021-01-21 22:40:36,"JA","同意する",31,73,65,52,56,54,66,53,"あまり注意を払っていない","わからない","ハト派",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"支持しない","ステータスには影響はない","どちらでもない","そう思う","どちらでもない","どちらでもない","そう思う","そう思わない","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","４","４","４","１　全く同意しない／反対する","４","１　全く同意しない／反対する","１　全く同意しない／反対する","４","６","６","６","４","６","６","６","４","自衛隊の早期撤退,自衛隊の派遣継続","国連主導の平和維持活動","9","1979年","女性","高校・高専・専門学校・短大卒業","難しかった。"
2021-01-21 22:37:01,2021-01-21 22:40:53,100,231,TRUE,2021-01-21 22:40:53,"JA","同意する",50,50,50,50,50,50,50,50,"やや注意を払っている","どちらかと言えば支持していない","タカ派",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","ステータスには影響はない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","国際社会の上位6～15パーセント","わからない","ステータスには影響はない","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","４","４","４","５","４","４","４","５","４","５","４","５","４","４","４","４","どれでもない","アメリカ主導の平和維持活動","2","1972年","男性","大学卒業","特にない"
2021-01-21 22:38:04,2021-01-21 22:41:03,100,179,TRUE,2021-01-21 22:41:03,"JA","同意する",32,44,38,49,48,44,47,41,"あまり注意を払っていない","どちらかと言えば支持していない","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","ステータスには影響はない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","国際社会の上位16～29パーセント","支持しない","ステータスには影響はない","国際社会の上位6～15パーセント",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","３","３","３","４","３","４","４","４","４","４","４","３","４","４","４","４","どれでもない","どれでもない","2","1985年","男性","高校・高専・専門学校・短大卒業","特になし"
2021-01-21 22:36:27,2021-01-21 22:41:07,100,280,TRUE,2021-01-21 22:41:07,"JA","同意する",0,50,60,50,50,30,50,50,"ほとんど注意を払っていない","わからない","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","ステータスには影響はない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","わからない","わからない","ステータスには影響はない","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","３","５","３","３","６","２","２","４","７　完全に同意する／賛成する","７　完全に同意する／賛成する","７　完全に同意する／賛成する","５","５","６","５","７　完全に同意する／賛成する","どれでもない","どれでもない","5 (中間)","1989年","女性","高校・高専・専門学校・短大卒業",NA
2021-01-21 22:37:44,2021-01-21 22:41:12,100,207,TRUE,2021-01-21 22:41:13,"JA","同意する",0,19,0,35,22,0,0,0,"やや注意を払っている","どちらかと言えば支持している","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","ステータスには影響はない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","わからない","わからない","４","４","４","４","４","４","４","４","４","４","４","４","４","４","４","４","どれでもない","どれでもない","5 (中間)","1980年","男性","高校・高専・専門学校・短大卒業",NA
2021-01-21 22:36:58,2021-01-21 22:41:37,100,279,TRUE,2021-01-21 22:41:37,"JA","同意する",46,63,39,72,60,55,50,52,"ほとんど注意を払っていない","どちらかと言えば支持していない","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"支持しない","ステータスを上げる影響をもつ","そう思う","そう思う","そう思わない","どちらでもない","そう思う","どちらでもない","国際社会の上位16～29パーセント","支持する","ステータスを下げる影響がある","国際社会の上位30～49パーセント",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"授権決議はなかったはずだ","４","３","５","３","４","３","４","５","５","４","６","４","５","４","３","５","中東のB国への自衛隊派遣,自衛隊の早期撤退","アメリカ主導の平和維持活動","5 (中間)","1977年","女性","大学卒業","普段考えていないから難しかった"
2021-01-21 22:38:15,2021-01-21 22:42:03,100,228,TRUE,2021-01-21 22:42:03,"JA","同意する",50,50,50,50,50,50,50,50,"わからない","わからない","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","ステータスには影響はない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","わからない","わからない","ステータスには影響はない","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"わからない","４","４","４","４","４","４","４","４","４","４","４","４","４","４","４","４","どれでもない","どれでもない","5 (中間)","1987年","男性","高校・高専・専門学校・短大卒業",NA
