"StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","consent","fav_China","fav_France","fav_Korea","fav_UK","fav_US","fav_Russia","fav_UN","fav_WHO","interest","leader_sup","hawk_dove","priming_1","priming_2","priming_3","priming_4","DV1_G1","DV2_G1","DV3_G1","DV4_G1","DV5_G1","DV6_G1","DV7_G1","DV8_G1","DV9_G1","DV10_G1","DV11_G1","DV12_G1","DV1_G2","DV2_G2","DV3_G2","DV4_G2","DV5_G2","DV6_G2","DV7_G2","DV8_G2","DV9_G2","DV10_G2","DV11_G2","DV12_G2","DV1_G3","DV2_G3","DV3_G3","DV4_G3","DV5_G3","DV6_G3","DV7_G3","DV8_G3","DV9_G3","DV10_G3","DV11_G3","DV12_G3","DV1_G4","DV2_G4","DV3_G4","DV4_G4","DV5_G4","DV6_G4","DV7_G4","DV8_G4","DV9_G4","DV10_G4","DV11_G4","DV12_G4","DV1_G5","DV2_G5","DV3_G5","DV4_G5","DV5_G5","DV6_G5","DV7_G5","DV8_G5","DV9_G5","DV1_G6","DV2_G6","DV3_G6","DV4_G6","DV5_G6","DV6_G6","DV7_G6","DV8_G6","DV9_G6","knowledge","SDO1","SDO2","SDO3","SDO4","SDO5","SDO6","SDO7","SDO8","SDO9","SDO10","SDO11","SDO12","SDO13","SDO14","SDO15","SDO16","check1","check2","liberal","age","gender","education","free_writing"
2021-01-21 22:36:16,2021-01-21 22:38:25,100,128,TRUE,2021-01-21 22:38:25,33.9494934082031,131.244689941406,"JA","Agree",52,54,59,56,59,57,56,54,"Some attention","Somewhat Approve","Dove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not support","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Among the top 6 to 15% of international society","There must not have been a resolution","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","SDF early withdrawal","US-led peacekeeping mission","5","1956","male","Graduated from a graduate school","特にない"
2021-01-21 22:38:33,2021-01-21 22:38:39,100,6,TRUE,2021-01-21 22:38:39,34.743896484375,135.139312744141,"JA","Do not agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-21 22:37:41,2021-01-21 22:40:13,100,151,TRUE,2021-01-21 22:40:13,35.6963958740234,139.634185791016,"JA","Agree",0,64,0,46,73,17,18,40,"A lot of attention","Do not know","Do not know","Do not know","Do not know","Do not know","さ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not want to answer","Have an impact of decreasing status","Yes, I think so","Neither","Yes, I think so","Neither","Neither","Neither","Do not know","Do not know","Have an impact of decreasing status","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","3","3","4","3","1","1","4","4","4","5","4","4","4","4","3","4","None of the above","Neither","Do not want to answer","1989","male","Two-year college","な"
2021-01-21 22:36:27,2021-01-21 22:40:36,100,248,TRUE,2021-01-21 22:40:36,35.6900024414062,139.690002441406,"JA","Agree",31,73,65,52,56,54,66,53,"Limited attention","Do not know","Dove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not support","Do not have an impact","Neither","Yes, I think so","Neither","Neither","Yes, I think so","No, I do not think so","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","4","4","4","1","4","1","1","4","6","6","6","4","6","6","6","4","SDF early withdrawal,SDF continuing troop deployment","UN-led peacekeeping mission","9","1979","female","Two-year college","難しかった。"
2021-01-21 22:37:01,2021-01-21 22:40:53,100,231,TRUE,2021-01-21 22:40:53,35.8894958496094,139.793395996094,"JA","Agree",50,50,50,50,50,50,50,50,"Some attention","Somewhat Disapprove","Hawk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Among the top 6 to 15% of international society","Do not know","Do not have an impact","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","4","4","4","5","4","4","4","5","4","5","4","5","4","4","4","4","None of the above","US-led peacekeeping mission","2","1972","male","Graduated from a four-year college","特にない"
2021-01-21 22:38:04,2021-01-21 22:41:03,100,179,TRUE,2021-01-21 22:41:03,35.6900024414062,139.690002441406,"JA","Agree",32,44,38,49,48,44,47,41,"Limited attention","Somewhat Disapprove","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Among the top 16 to 29% of international society","Do not support","Do not have an impact","Among the top 6 to 15% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","3","3","3","4","3","4","4","4","4","4","4","3","4","4","4","4","None of the above","Neither","2","1985","male","Two-year college","特になし"
2021-01-21 22:36:27,2021-01-21 22:41:07,100,280,TRUE,2021-01-21 22:41:07,35.6930999755859,139.713714599609,"JA","Agree",0,50,60,50,50,30,50,50,"No attention","Do not know","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Do not know","Do not know","Do not have an impact","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","3","5","3","3","6","2","2","4","7","7","7","5","5","6","5","7","None of the above","Neither","5","1989","female","Two-year college",NA
2021-01-21 22:37:44,2021-01-21 22:41:12,100,207,TRUE,2021-01-21 22:41:13,36.4064025878906,138.983093261719,"JA","Agree",0,19,0,35,22,0,0,0,"Some attention","Somewhat Approve","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Do not know","Do not know","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","None of the above","Neither","5","1980","male","Two-year college",NA
2021-01-21 22:36:58,2021-01-21 22:41:37,100,279,TRUE,2021-01-21 22:41:37,35.6361999511719,139.718902587891,"JA","Agree",46,63,39,72,60,55,50,52,"No attention","Somewhat Disapprove","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not support","Have an impact of increasing status","Yes, I think so","Yes, I think so","No, I do not think so","Neither","Yes, I think so","Neither","Among the top 16 to 29% of international society","Support","Have an impact of decreasing status","Among the top 30 to 49% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There must not have been a resolution","4","3","5","3","4","3","4","5","5","4","6","4","5","4","3","5","SDF Troops deployment to state B in the Middle East,SDF early withdrawal","US-led peacekeeping mission","5","1977","female","Graduated from a four-year college","普段考えていないから難しかった"
2021-01-21 22:38:15,2021-01-21 22:42:03,100,228,TRUE,2021-01-21 22:42:03,35.6900024414062,139.690002441406,"JA","Agree",50,50,50,50,50,50,50,50,"Do not know","Do not know","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Do not know","Do not know","Do not have an impact","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","None of the above","Neither","5","1987","male","Two-year college",NA
